lemRank,lemma,PoS,lemFreq,wordFreq,word,,Data Sourced From: www.wordfrequency.info
2719,activist,n,29161,16968,activists,,
592,activity,n,162943,82456,activities,,
592,activity,n,162943,80487,activity,,
1600,actor,n,58856,33178,actor,,
1600,actor,n,58856,25678,actors,,
3414,actress,n,21526,18765,actress,,
3414,actress,n,21526,2761,actresses,,
702,act,n,137668,27528,acts,,
813,act,v,119650,10357,acts,,
1480,actual,j,64818,64818,actual,,
269,actually,r,353857,353857,actually,,
1700,ad,n,54265,28431,ad,,
3081,adapt,v,24934,9912,adapt,,
4956,adaptation,n,12219,9441,adaptation,,
4956,adaptation,n,12219,2778,adaptations,,
3081,adapt,v,24934,11159,adapted,,
3081,adapt,v,24934,3203,adapting,,
3081,adapt,v,24934,660,adapts,,
362,add,v,275233,116975,add,,
362,add,v,275233,84161,added,,
4706,added,j,13256,13256,added,,
4666,addiction,n,13411,12098,addiction,,
4666,addiction,n,13411,1313,addictions,,
362,add,v,275233,40691,adding,,
2190,addition,i,39685,39685,addition,,
3858,addition,n,17884,14182,addition,,
1320,additional,j,72539,72539,additional,,
4683,additionally,r,13324,13324,additionally,,
3858,addition,n,17884,3702,additions,,
1030,address,v,94155,44729,address,,
1710,address,n,54018,48320,address,,
1030,address,v,94155,25531,addressed,,
1030,address,v,94155,8220,addresses,,
1710,address,n,54018,5698,addresses,,
1030,address,v,94155,15675,addressing,,
362,add,v,275233,33406,adds,,
3856,adequate,j,17887,17887,adequate,,
2464,adjust,v,33205,14686,adjust,,
2464,adjust,v,33205,10553,adjusted,,
2464,adjust,v,33205,6245,adjusting,,
3500,adjustment,n,20658,12592,adjustment,,
3500,adjustment,n,20658,8066,adjustments,,
2464,adjust,v,33205,1721,adjusts,,
4065,administer,v,16592,3894,administer,,
4065,administer,v,16592,9623,administered,,
4065,administer,v,16592,2156,administering,,
4065,administer,v,16592,919,administers,,
744,administration,n,130297,126016,administration,,
744,administration,n,130297,4281,administrations,,
3726,administrative,j,18864,18864,administrative,,
2971,administrator,n,26195,10261,administrator,,
2971,administrator,n,26195,15934,administrators,,
3588,admire,v,19872,9973,admire,,
3588,admire,v,19872,7023,admired,,
3588,admire,v,19872,1274,admires,,
3588,admire,v,19872,1602,admiring,,
3366,admission,n,22052,15260,admission,,
3366,admission,n,22052,6792,admissions,,
1121,admit,v,86631,42323,admit,,
1121,admit,v,86631,20,admited,,
1121,admit,v,86631,12918,admits,,
1121,admit,v,86631,26298,admitted,,
1121,admit,v,86631,5072,admitting,,
4043,adolescent,n,16726,2568,adolescent,,
4043,adolescent,n,16726,14158,adolescents,,
1797,adopt,v,50605,16003,adopt,,
1797,adopt,v,50605,26769,adopted,,
1797,adopt,v,50605,6336,adopting,,
3645,adoption,n,19416,17961,adoption,,
3645,adoption,n,19416,1455,adoptions,,
1797,adopt,v,50605,1497,adopts,,
1700,ad,n,54265,25834,ads,,
1024,adult,n,94547,43710,adult,,
1024,adult,n,94547,50837,adults,,
2444,advance,n,33626,23485,advance,,
2828,advance,v,28014,12842,advance,,
2828,advance,v,28014,9893,advanced,,
2870,advanced,j,27563,27563,advanced,,
2444,advance,n,33626,10141,advances,,
2828,advance,v,28014,2553,advances,,
2828,advance,v,28014,2726,advancing,,
1382,advantage,n,68866,55612,advantage,,
1382,advantage,n,68866,13254,advantages,,
2826,adventure,n,28045,19057,adventure,,
2826,adventure,n,28045,8988,adventures,,
3994,advertisement,n,16993,12507,advertisement,,
3994,advertisement,n,16993,4486,advertisements,,
2904,advertising,n,27069,27069,advertising,,
1551,advice,n,60861,60728,advice,,
1551,advice,n,60861,133,advices,,
2868,advise,v,27580,8240,advise,,
2868,advise,v,27580,10888,advised,,
3197,adviser,n,23663,14702,adviser,,
3197,adviser,n,23663,8961,advisers,,
2868,advise,v,27580,4648,advises,,
2868,advise,v,27580,3804,advising,,
2873,advocate,n,27479,9537,advocate,,
3843,advocate,v,17982,6948,advocate,,
3843,advocate,v,17982,5152,advocated,,
2873,advocate,n,27479,17942,advocates,,
3843,advocate,v,17982,6,advocates,,
3843,advocate,v,17982,5876,advocating,,
1607,affair,n,58553,22973,affair,,
1607,affair,n,58553,35580,affairs,,
984,affect,v,98073,40435,affect,,
984,affect,v,98073,31319,affected,,
984,affect,v,98073,11281,affecting,,
984,affect,v,98073,15038,affects,,
4195,affiliation,n,15784,14144,affiliation,,
4195,affiliation,n,15784,1640,affiliations,,
1841,afford,v,49246,42974,afford,,
4017,affordable,j,16864,16864,affordable,,
1841,afford,v,49246,3889,afforded,,
1841,afford,v,49246,713,affording,,
1841,afford,v,49246,1670,affords,,
1221,afraid,j,78979,78979,afraid,,
1635,African,j,57497,57497,african,,
4162,African-american,j,15963,15763,african-american,,
4162,African-american,j,15963,200,africanamerican,,
131,after,i,745154,745154,after,,
293,after,c,334050,334050,after,,
1424,afternoon,n,67378,29,after-noon,,
1424,afternoon,n,67378,63975,afternoon,,
1424,afternoon,n,67378,3374,afternoons,,
5042,afterward,r,11893,11893,afterward,,
178,again,r,530706,530706,again,,
201,against,i,467705,467705,against,,
429,age,n,228610,196589,age,,
4121,age,v,16238,6077,age,,
4121,age,v,16238,3855,aged,,
4121,age,v,16238,225,ageing,,
785,agency,n,123524,42971,agencies,,
785,agency,n,123524,80553,agency,,
2231,agenda,n,38615,34748,agenda,,
2231,agenda,n,38615,3867,agendas,,
1012,agent,n,95371,56247,agent,,
1012,agent,n,95371,39124,agents,,
429,age,n,228610,32021,ages,,
4121,age,v,16238,3489,ages,,
2922,aggressive,j,26819,26819,aggressive,,
4121,age,v,16238,2592,aging,,
338,ago,r,294921,294921,ago,,
461,agree,v,208506,125493,agree,,
461,agree,v,208506,63201,agreed,,
461,agree,v,208506,6064,agreeing,,
1255,agreement,n,76793,63444,agreement,,
1255,agreement,n,76793,13349,agreements,,
461,agree,v,208506,13748,agrees,,
3847,agricultural,j,17939,17939,agricultural,,
3633,agriculture,n,19558,19539,agriculture,,
3633,agriculture,n,19558,19,agricultures,,
1655,ah,u,56374,56374,ah,,
1067,ahead,r,91325,91325,ahead,,
2614,ahead,i,30782,30782,ahead,,
2046,aid,n,43250,43250,aid,,
4884,aid,v,12471,6181,aid,,
3909,aide,n,17521,8933,aide,,
4884,aid,v,12471,3871,aided,,
3909,aide,n,17521,8588,aides,,
4884,aid,v,12471,2169,aiding,,
2788,AIDS,n,28489,28489,aids,,
4884,aid,v,12471,250,aids,,
2122,aim,v,41126,7940,aim,,
3922,aim,n,17460,13453,aim,,
2122,aim,v,41126,20740,aimed,,
2122,aim,v,41126,5743,aiming,,
2122,aim,v,41126,6703,aims,,
3922,aim,n,17460,4007,aims,,
455,air,n,210307,208389,air,,
2052,airport,n,43177,7,air-port,,
3360,aircraft,n,22111,21982,aircraft,,
3360,aircraft,n,22111,129,aircrafts,,
2802,airline,n,28327,12878,airline,,
2802,airline,n,28327,15449,airlines,,
4247,airplane,n,15512,10606,airplane,,
4247,airplane,n,15512,4906,airplanes,,
2052,airport,n,43177,36673,airport,,
2052,airport,n,43177,6497,airports,,
455,air,n,210307,1918,airs,,
4847,aisle,n,12675,10307,aisle,,
4847,aisle,n,12675,2368,aisles,,
3833,alarm,n,18039,14678,alarm,,
3833,alarm,n,18039,3361,alarms,,
1943,album,n,46247,37848,album,,
1943,album,n,46247,8399,albums,,
2302,alcohol,n,36823,36659,alcohol,,
2302,alcohol,n,36823,164,alcohols,,
3474,alien,n,20885,8173,alien,,
4581,alien,j,13821,13821,alien,,
3474,alien,n,20885,12712,aliens,,
5039,align,v,11912,3854,align,,
5039,align,v,11912,5969,aligned,,
5039,align,v,11912,1183,aligning,,
5039,align,v,11912,906,aligns,,
4818,alike,r,12770,12770,alike,,
1374,alive,j,69360,69360,alive,,
43,all,d,2503556,2503556,all,,
159,all,r,591610,591610,all,,
3399,allegation,n,21709,3668,allegation,,
3399,allegation,n,21709,18041,allegations,,
4070,alleged,j,16528,16528,alleged,,
4484,allegedly,r,14263,14263,allegedly,,
4748,alley,n,13070,11296,alley,,
4748,alley,n,13070,1774,alleys,,
2930,alliance,n,26718,22072,alliance,,
2930,alliance,n,26718,4646,alliances,,
2479,ally,n,32994,21866,allies,,
346,allow,v,288559,103001,allow,,
346,allow,v,288559,97541,allowed,,
346,allow,v,288559,38109,allowing,,
346,allow,v,288559,49908,allows,,
2479,ally,n,32994,11128,ally,,
357,almost,r,279393,279393,almost,,
1141,alone,r,85036,85036,alone,,
1393,alone,j,68401,68401,alone,,
533,along,i,181372,181372,along,,
1284,along,r,74461,74461,along,,
4260,alongside,i,15454,15454,alongside,,
4486,alpha,n,14253,13649,alpha,,
4486,alpha,n,14253,604,alphas,,
324,already,r,311502,311502,already,,
4393,alright,r,14773,14773,alright,,
89,also,r,1142799,1142799,also,,
3089,alter,v,24900,11690,alter,,
3089,alter,v,24900,8218,altered,,
3089,alter,v,24900,3435,altering,,
2326,alternative,n,36296,22157,alternative,,
2806,alternative,j,28282,28282,alternative,,
2326,alternative,n,36296,14139,alternatives,,
3089,alter,v,24900,1557,alters,,
451,although,c,212390,212390,although,,
4342,altogether,r,14986,14986,altogether,,
191,always,r,492943,492940,always,,
2,be,v,32394756,448411,am,,
1500,am,r,63615,63615,am,,
1369,amazing,j,69525,69525,amazing,,
3214,ambassador,n,23522,21418,ambassador,,
3214,ambassador,n,23522,2104,ambassadors,,
4703,ambition,n,13267,7409,ambition,,
4703,ambition,n,13267,5858,ambitions,,
4940,ambitious,j,12298,12298,ambitious,,
1990,amendment,n,44879,37726,amendment,,
1990,amendment,n,44879,7153,amendments,,
237,American,j,410698,410698,american,,
594,American,n,162614,14162,american,,
594,American,n,162614,148452,americans,,
4405,amid,i,14704,14704,amid,,
368,among,i,267798,267798,among,,
757,amount,n,128075,106531,amount,,
757,amount,n,128075,21544,amounts,,
4,a,a,24225478,3059411,an,,
758,analysis,n,128029,18593,analyses,,
758,analysis,n,128029,109436,analysis,,
2146,analyst,n,40785,20636,analyst,,
2146,analyst,n,40785,20149,analysts,,
2339,analyze,v,35948,12813,analyze,,
2339,analyze,v,35948,13051,analyzed,,
2339,analyze,v,35948,2042,analyzes,,
2339,analyze,v,35948,8042,analyzing,,
4434,ancestor,n,14501,3271,ancestor,,
4434,ancestor,n,14501,11230,ancestors,,
4172,anchor,n,15923,14039,anchor,,
4172,anchor,n,15923,1884,anchors,,
2072,ancient,j,42623,42623,ancient,,
3,and,c,24778098,24778098,and,,
2736,and/or,c,29029,29029,and/or,,
4485,Android,n,14261,13844,android,,
4485,Android,n,14261,417,androids,,
2245,angel,n,38155,21761,angel,,
2245,angel,n,38155,16390,angels,,
2626,anger,n,30587,30439,anger,,
2626,anger,n,30587,148,angers,,
2698,angle,n,29422,22320,angle,,
2698,angle,n,29422,7102,angles,,
1733,angry,j,52980,919,angrier,,
1733,angry,j,52980,219,angriest,,
1733,angry,j,52980,51842,angry,,
780,animal,n,124835,58091,animal,,
780,animal,n,124835,66744,animals,,
4303,ankle,n,15182,10387,ankle,,
4303,ankle,n,15182,4795,ankles,,
3441,anniversary,n,21242,667,anniversaries,,
3441,anniversary,n,21242,20575,anniversary,,
1229,announce,v,78426,11145,announce,,
1229,announce,v,78426,55449,announced,,
3456,announcement,n,21081,17254,announcement,,
3456,announcement,n,21081,3827,announcements,,
1229,announce,v,78426,4304,announces,,
1229,announce,v,78426,7528,announcing,,
1592,annual,j,59301,59301,annual,,
4849,annually,r,12669,12669,annually,,
2449,anonymous,j,33517,33517,anonymous,,
166,another,d,565094,565094,another,,
2613,another,p,30791,30791,another,,
742,answer,n,130534,92458,answer,,
835,answer,v,115956,65746,answer,,
835,answer,v,115956,33237,answered,,
835,answer,v,115956,8663,answering,,
742,answer,n,130534,38076,answers,,
835,answer,v,115956,8310,answers,,
3664,anticipate,v,19312,6900,anticipate,,
3664,anticipate,v,19312,7566,anticipated,,
3664,anticipate,v,19312,1384,anticipates,,
3664,anticipate,v,19312,3462,anticipating,,
2673,anxiety,n,29659,2496,anxieties,,
2673,anxiety,n,29659,27163,anxiety,,
4599,anxious,j,13723,13723,anxious,,
103,any,d,981535,981535,any,,
4163,any,r,15957,15957,any,,
245,anything,p,384508,76,any-thing,,
987,anyway,r,97831,36,any-way,,
1251,anybody,p,77150,77150,anybody,,
1268,anymore,r,75907,75907,anymore,,
463,anyone,p,207907,207907,anyone,,
245,anything,p,384508,384431,anything,,
4903,anytime,n,12412,12412,anytime,,
987,anyway,r,97831,97795,anyway,,
1712,anywhere,r,53945,53945,anywhere,,
2087,apart,r,42168,42168,apart,,
4826,apart,i,12746,12746,apart,,
1460,apartment,n,65884,10,apart-ment,,
1460,apartment,n,65884,57651,apartment,,
1460,apartment,n,65884,8223,apartments,,
4104,apology,n,16314,5380,apologies,,
2792,apologize,v,28462,1052,apologise,,
2792,apologize,v,28462,179,apologised,,
2792,apologize,v,28462,38,apologises,,
2792,apologize,v,28462,27,apologising,,
2792,apologize,v,28462,17540,apologize,,
2792,apologize,v,28462,5746,apologized,,
2792,apologize,v,28462,996,apologizes,,
2792,apologize,v,28462,2884,apologizing,,
4104,apology,n,16314,10934,apology,,
2126,app,n,41082,25683,app,,
2909,apparent,j,26981,26981,apparent,,
1427,apparently,r,67248,67248,apparently,,
2183,appeal,n,39798,25043,appeal,,
3226,appeal,v,23427,10882,appeal,,
3226,appeal,v,23427,5493,appealed,,
3226,appeal,v,23427,5596,appealing,,
3226,appeal,v,23427,8,appealling,,
2183,appeal,n,39798,14755,appeals,,
3226,appeal,v,23427,1448,appeals,,
437,appear,v,221287,73910,appear,,
1914,appearance,n,46855,36044,appearance,,
1914,appearance,n,46855,10811,appearances,,
437,appear,v,221287,65512,appeared,,
437,appear,v,221287,10713,appearing,,
437,appear,v,221287,71152,appears,,
1327,apple,n,72273,61047,apple,,
1327,apple,n,72273,11226,apples,,
1354,application,n,70441,41425,application,,
1354,application,n,70441,29016,applications,,
880,apply,v,110328,33429,applied,,
880,apply,v,110328,13727,applies,,
880,apply,v,110328,48196,apply,,
880,apply,v,110328,14976,applying,,
3376,appoint,v,21949,4090,appoint,,
3376,appoint,v,21949,15921,appointed,,
3376,appoint,v,21949,1306,appointing,,
3069,appointment,n,25144,18135,appointment,,
3069,appointment,n,25144,7009,appointments,,
3376,appoint,v,21949,632,appoints,,
1452,appreciate,v,66216,51385,appreciate,,
1452,appreciate,v,66216,11008,appreciated,,
1452,appreciate,v,66216,2239,appreciates,,
1452,appreciate,v,66216,1584,appreciating,,
4861,appreciation,n,12571,12471,appreciation,,
4861,appreciation,n,12571,100,appreciations,,
831,approach,n,116173,96291,approach,,
1631,approach,v,57607,15583,approach,,
1631,approach,v,57607,20011,approached,,
831,approach,n,116173,19882,approaches,,
1631,approach,v,57607,8076,approaches,,
1631,approach,v,57607,13937,approaching,,
1639,appropriate,j,57163,57163,appropriate,,
2787,approval,n,28499,27639,approval,,
2787,approval,n,28499,860,approvals,,
2098,approve,v,41740,11910,approve,,
2098,approve,v,41740,25758,approved,,
2098,approve,v,41740,1896,approves,,
2098,approve,v,41740,2176,approving,,
2532,approximately,r,32193,32193,approximately,,
2126,app,n,41082,15399,apps,,
1269,april,n,75906,75906,april,,
2619,Arab,j,30709,30709,arab,,
4600,Arab,n,13720,3829,arab,,
4600,Arab,n,13720,9891,arabs,,
4106,architect,n,16305,10494,architect,,
4106,architect,n,16305,5811,architects,,
3927,architecture,n,17424,16877,architecture,,
3927,architecture,n,17424,547,architectures,,
4336,archive,n,15007,5259,archive,,
4336,archive,n,15007,9748,archives,,
2,be,v,32394756,4983145,are,,
296,area,n,331866,212812,area,,
296,area,n,331866,119054,areas,,
4272,arena,n,15361,12788,arena,,
4272,arena,n,15361,2570,arenas,,
847,argue,v,114425,44214,argue,,
847,argue,v,114425,32401,argued,,
847,argue,v,114425,17635,argues,,
847,argue,v,114425,20175,arguing,,
973,argument,n,99403,69218,argument,,
973,argument,n,99403,30185,arguments,,
2747,arise,v,28915,11013,arise,,
2747,arise,v,28915,1955,arisen,,
2747,arise,v,28915,5621,arises,,
2747,arise,v,28915,3909,arising,,
601,arm,n,161185,71348,arm,,
4816,arm,v,12779,633,arm,,
2992,armed,j,25972,25972,armed,,
4816,arm,v,12779,10425,armed,,
996,army,n,97025,6197,armies,,
4816,arm,v,12779,1528,arming,,
601,arm,n,161185,89837,arms,,
4816,arm,v,12779,193,arms,,
996,army,n,97025,90828,army,,
2747,arise,v,28915,6414,arose,,
307,around,r,324064,324064,around,,
314,around,i,318942,318942,around,,
2726,arrange,v,29108,9962,arrange,,
2726,arrange,v,29108,14875,arranged,,
2910,arrangement,n,26976,13727,arrangement,,
2910,arrangement,n,26976,13249,arrangements,,
2726,arrange,v,29108,842,arranges,,
2726,arrange,v,29108,3429,arranging,,
3961,array,n,17233,15464,array,,
3961,array,n,17233,1769,arrays,,
1957,arrest,v,45707,8731,arrest,,
2786,arrest,n,28504,21775,arrest,,
1957,arrest,v,45707,34405,arrested,,
1957,arrest,v,45707,2337,arresting,,
1957,arrest,v,45707,234,arrests,,
2786,arrest,n,28504,6729,arrests,,
3672,arrival,n,19265,16855,arrival,,
3672,arrival,n,19265,2410,arrivals,,
968,arrive,v,99819,22602,arrive,,
968,arrive,v,99819,56458,arrived,,
968,arrive,v,99819,10101,arrives,,
968,arrive,v,99819,10658,arriving,,
4586,arrow,n,13796,8901,arrow,,
4586,arrow,n,13796,4895,arrows,,
447,art,n,215981,159436,art,,
554,article,n,173819,134717,article,,
554,article,n,173819,39102,articles,,
4306,artificial,j,15142,15142,artificial,,
944,artist,n,101861,55386,artist,,
4019,artistic,j,16857,16857,artistic,,
944,artist,n,101861,46475,artists,,
447,art,n,215981,56545,arts,,
38,as,c,2946119,2946119,as,,
58,as,i,1880190,1880190,as,,
145,as,r,662376,662376,as,,
4896,ash,n,12427,6030,ash,,
5032,ashamed,j,11937,11937,ashamed,,
4896,ash,n,12427,6391,ashes,,
4896,ash,n,12427,6,ashi,,
2794,Asian,j,28419,28419,asian,,
2168,aside,r,40119,40119,aside,,
143,ask,v,676596,247585,ask,,
143,ask,v,676596,304831,asked,,
143,ask,v,676596,88039,asking,,
143,ask,v,676596,36141,asks,,
3095,asleep,j,24848,24848,asleep,,
1492,aspect,n,63967,28207,aspect,,
1492,aspect,n,63967,35760,aspects,,
1782,ass,n,51238,47618,ass,,
4095,asshole,n,16356,35,ass-hole,,
2624,assault,n,30609,27020,assault,,
2624,assault,n,30609,3589,assaults,,
4152,assemble,v,16017,5195,assemble,,
4152,assemble,v,16017,7882,assembled,,
4152,assemble,v,16017,522,assembles,,
3034,assembly,n,25533,1785,assemblies,,
4152,assemble,v,16017,2418,assembling,,
3034,assembly,n,25533,23748,assembly,,
3541,assert,v,20352,6420,assert,,
3541,assert,v,20352,5781,asserted,,
3541,assert,v,20352,3433,asserting,,
3541,assert,v,20352,4718,asserts,,
1782,ass,n,51238,3620,asses,,
2157,assess,v,40352,19556,assess,,
2157,assess,v,40352,10587,assessed,,
2157,assess,v,40352,1420,assesses,,
2157,assess,v,40352,8789,assessing,,
1662,assessment,n,55956,45097,assessment,,
1662,assessment,n,55956,10859,assessments,,
2195,asset,n,39563,11910,asset,,
2195,asset,n,39563,27653,assets,,
4095,asshole,n,16356,12860,asshole,,
4095,asshole,n,16356,3461,assholes,,
2709,assign,v,29315,5035,assign,,
2709,assign,v,29315,20604,assigned,,
2709,assign,v,29315,2480,assigning,,
3275,assignment,n,22955,14379,assignment,,
3275,assignment,n,22955,8576,assignments,,
2709,assign,v,29315,1196,assigns,,
2467,assist,v,33161,17682,assist,,
2289,assistance,n,37154,37140,assistance,,
2289,assistance,n,37154,14,assistances,,
2999,assistant,n,25884,20036,assistant,,
3297,assistant,j,22741,22741,assistant,,
2999,assistant,n,25884,5848,assistants,,
2467,assist,v,33161,5087,assisted,,
2467,assist,v,33161,4125,assisting,,
2467,assist,v,33161,6267,assists,,
1408,associate,v,67750,6100,associate,,
3775,associate,n,18443,6145,associate,,
5006,associate,j,12053,12053,associate,,
1408,associate,v,67750,59098,associated,,
3809,associated,j,18209,18209,associated,,
1408,associate,v,67750,1325,associates,,
3775,associate,n,18443,12298,associates,,
1408,associate,v,67750,1227,associating,,
1031,association,n,94100,81087,association,,
1031,association,n,94100,13013,associations,,
1001,assume,v,96840,44204,assume,,
1001,assume,v,96840,24455,assumed,,
1001,assume,v,96840,7709,assumes,,
1001,assume,v,96840,20472,assuming,,
2521,assumption,n,32317,17692,assumption,,
2521,assumption,n,32317,14625,assumptions,,
2919,assure,v,26863,12233,assure,,
2919,assure,v,26863,10605,assured,,
2919,assure,v,26863,2032,assures,,
2919,assure,v,26863,1993,assuring,,
4767,astronomer,n,12976,3302,astronomer,,
4767,astronomer,n,12976,9674,astronomers,,
27,at,i,4024079,4024075,at,,
476,eat,v,201315,23604,ate,,
2169,athlete,n,40094,12946,athlete,,
2169,athlete,n,40094,27148,athletes,,
3618,athletic,j,19650,19650,athletic,,
2410,atmosphere,n,34247,33363,atmosphere,,
2410,atmosphere,n,34247,884,atmospheres,,
2538,attach,v,32064,6519,attach,,
2538,attach,v,32064,22354,attached,,
2538,attach,v,32064,1520,attaches,,
2538,attach,v,32064,1671,attaching,,
753,attack,n,128893,79207,attack,,
1459,attack,v,65959,24940,attack,,
1459,attack,v,65959,24535,attacked,,
1459,attack,v,65959,13175,attacking,,
753,attack,n,128893,49686,attacks,,
1459,attack,v,65959,3309,attacks,,
1334,attempt,n,71833,45347,attempt,,
1679,attempt,v,54992,17114,attempt,,
1679,attempt,v,54992,16632,attempted,,
1679,attempt,v,54992,17180,attempting,,
1334,attempt,n,71833,26486,attempts,,
1679,attempt,v,54992,4066,attempts,,
664,attention,n,145669,29,atten-tion,,
1275,attend,v,75448,30717,attend,,
4975,attendance,n,12157,12116,attendance,,
4975,attendance,n,12157,41,attendances,,
1275,attend,v,75448,25281,attended,,
1275,attend,v,75448,16678,attending,,
1275,attend,v,75448,2772,attends,,
664,attention,n,145669,144742,attention,,
664,attention,n,145669,898,attentions,,
1474,attitude,n,65288,39052,attitude,,
1474,attitude,n,65288,26236,attitudes,,
1102,attorney,n,88616,72293,attorney,,
1102,attorney,n,88616,16323,attorneys,,
2200,attract,v,39479,16268,attract,,
2200,attract,v,39479,16107,attracted,,
2200,attract,v,39479,3430,attracting,,
4304,attraction,n,15180,10520,attraction,,
4304,attraction,n,15180,4660,attractions,,
3208,attractive,j,23563,23563,attractive,,
